ID,Lable
ARO.PWY..chorismate.biosynthesis.I,Chorismate Biosynthesis I
ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis,Superpathway of L-Aspartate And L-Asparagine Biosynthesis
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis,Superpathway of Branched Chain Amino Acid Biosynthesis
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.,Coenzyme A-Biosynthesis I (Prokaryotic)
Dopamine degradation,Dopamine Degradation
GABA synthesis II,GABA-Synthesis II
GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation,Superpathway of Hexuronide And Hexuronate Degradation
HEMESYN2.PWY..heme.b.biosynthesis.II..oxygen.independent.,Heme B-Biosynthesis II (Oxygen Independent)
Histamine degradation,Histamine Degradation
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.,L-Isoleucine Biosynthesis I (From Threonine)
LIPA.CORESYN.PWY..lipid.A.core.biosynthesis..E..coli.K.12.,Lipid A-Core Biosynthesis (E.Coli K-12)
LPSSYN.PWY..superpathway.of.lipopolysaccharide.biosynthesis,Superpathway of Lipopolysaccharide Biosynthesis
lysine degradation II,Lysine Degradation II
P221.PWY..octane.oxidation,Octane Oxidation
putrescine degradation,Putrescine Degradation
PWY.5088..L.glutamate.degradation.VIII..to.propanoate.,L-Glutamate Degradation VIII (to Propanoate)
PWY.5097..L.lysine.biosynthesis.VI,L-Lysine Biosynthesis VI
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.,Fatty Acid Beta-Oxidation II (Plant Peroxisome)
PWY.5656..mannosylglycerate.biosynthesis.I,Mannosylglycerate Biosynthesis I
PWY.5667..CDP.diacylglycerol.biosynthesis.I,CDP-Diacylglycerol Biosynthesis I
PWY.5686..UMP.biosynthesis.I,UMP-Biosynthesis I
PWY.5705..allantoin.degradation.to.glyoxylate.III,Allantoin Degradation to Glyoxylate III
PWY.5723..Rubisco.shunt,Rubisco Shunt
PWY.5840..superpathway.of.menaquinol.7.biosynthesis,Superpathway of Menaquinol 7-Biosynthesis
PWY.6123..inosine.5..phosphate.biosynthesis.I,Inosine-5-Phosphate Biosynthesis I
PWY.6124..inosine.5..phosphate.biosynthesis.II,Inosine-5-Phosphate Biosynthesis II
